type,text,text_clean,target
ham,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham",know mallika sherawat yesterday find    lturlgtham,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ,spam",congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss spam,1
ham,"Sorry, I'll call later in meeting.,ham",sorry later meetingham,0
ham,"Tell where you reached,ham",tell reachedham,0
ham,"Yes..gauti and sehwag out of odi series.,ham",yesgauti sehwag odi seriesham,0
ham,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham",pick 1 burger way home pain kill meham,0
ham,"Ha ha ha good joke. Girls are situation seekers.,ham",ha ha ha good joke girl situation seekersham,0
ham,"Its a part of checking IQ,ham",check iqham,0
ham,"Sorry my roommates took forever, it ok if I come by now?,ham",sorry roommate forever ok come nowham,0
ham,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham",ok lar double check wif da hair dresser wun cut v short cut look niceham,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589,spam",value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589spam,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."",ham",today song dedicated day song u dedicate send ur valuable frnd rply meham,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ,spam",urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3ajspam,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"",spam",hear new divorce barbie come ken stuffspam,1
ham,"I plane to give on this month end.,ham",plane month endham,0
ham,"Wah lucky man... Then can save money... Hee...,ham",wah lucky man save money heeham,0
ham,"Finished class where are you.,ham",finished class youham,0
ham,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham",hi babe m home wanna xxham,0
ham,"K..k:)where are you?how did you performed?,ham",kkwhere youhow performedham,0
ham,"U can call me now...,ham",u nowham,0
ham,"I am waiting machan. Call me once you free.,ham",wait machan freeham,0
ham,"Thats cool. i am a gentleman and will treat you with dignity and respect.,ham",s cool gentleman treat dignity respectham,0
ham,"I like you peoples very much:) but am very shy pa.,ham",like people shy paham,0
ham,"Does not operate after  &lt;#&gt;  or what,ham",operate   ltgt   whatham,0
ham,"Its not the same here. Still looking for a job. How much do Ta's earn there.,ham",look job ta earn thereham,0
ham,"Sorry, I'll call later,ham",sorry laterham,0
ham,"K. Did you call me just now ah? ,ham",k ah ham,0
ham,"Ok i am on the way to home hi hi,ham",ok way home hi hiham,0
ham,"You will be in the place of that man,ham",place manham,0
ham,"Yup next stop.,ham",yup stopham,0
ham,"I call you later, don't have network. If urgnt, sms me.,ham",later network urgnt sm meham,0
ham,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham",real u yo need 2 ticket jacket multisham,0
ham,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham",yes start send request pain come bed double coin factory cash nitrosham,0
ham,"I'm really not up to it still tonight babe,ham",tonight babeham,0
ham,"Ela kano.,il download, come wen ur free..,ham",ela kanoil download come wen ur freeham,0
ham,"Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,ham",yeah donût stand close tho youûll catch somethingham,0
ham,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham",sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry ham,0
ham,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham",smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smilingham,0
spam,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam",customer service representative 0800 169 6031 10am9pm win guarantee å1000 cash å5000 prizespam,1
ham,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham",plan buy later check lido 530 e afternoon u finish work alreadyham,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"",spam",free ringtone wait collect simply text password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16spam,1
ham,"Watching telugu movie..wat abt u?,ham",watch telugu moviewat abt uham,0
ham,"i see. When we finish we have loads of loans to pay,ham",finish load loan payham,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"",ham",hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uhamham,0
ham,"Please don't text me anymore. I have nothing else to say.,ham",text anymore sayham,0
ham,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham",okay ur price long legal wen pick y u ave x ams xxham,0
ham,"I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham",look car buy 4the drive test yetham,0
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham",request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertuneham,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.,ham",wow right mean guess boston man change search location nyc change cuz signin page bostonham,0
ham,"Umma my life and vava umma love you lot dear,ham",umma life vava umma love lot dearham,0
ham,"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham",thank lot wish birthday thank birthday truly memorableham,0
ham,"Aight, I'll hit you up when I get some cash,ham",aight hit cashham,0
ham,"How would my ip address test that considering my computer isn't a minecraft server,ham",ip address test consider computer minecraft serverham,0
ham,"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham",know grumpy old people mom like lie play jokesham,0
ham,"Dont worry. I guess he's busy.,ham",worry guess busyham,0
ham,"What is the plural of the noun research?,ham",plural noun researchham,0
ham,"Going for dinner.msg you after.,ham",dinnermsg afterham,0
ham,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham",ok wif cos like 2 try new thing scare u dun like mah cos u loudham,0
spam,"GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam",gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppmspam,1
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?,ham",wa ur openin sentence formal fine juz tt eatin n puttin weighthaha anythin special happenedham,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.,ham",enter cabin pa '' happy b'day boss '' feel special askd 4 lunch lunch invite apartment thereham,0
spam,"You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam",winner u specially select 2 receive å1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18 spam,1
ham,"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham",goodo yes speak friday   eggpotato ratio tortilla need ham,0
ham,"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham",hmmmy uncle inform pay school directly pls buy foodham,0
spam,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam",private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifi code 45239 expiresspam,1
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM,spam",urgent mobile award å2000 bonus caller prize 5903 final try contact u landline 09064019788 box42wr29c 150ppmspam,1
ham,"here is my new address -apples&pairs&all that malarky,ham",new address applespairsall malarkyham,0
spam,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam",todays voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate appspam,1
ham,"I am going to sao mu today. Will be done only at 12 ,ham",sao mu today 12 ham,0
ham,"ÌÏ predict wat time Ì_'ll finish buying?,ham",ìï predict wat time ì'll finish buyingham,0
ham,"Good stuff, will do.,ham",good stuff doham,0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.,ham",knowyetunde send money send text bother send involve impose place apologiseham,0
ham,"Are you there in room.,ham",roomham,0
ham,"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham",hey girl r u hope u r del r bak long time c sum time lucyxxham,0
ham,"K..k:)how much does it cost?,ham",kkhow costham,0
ham,"I'm home.,ham",homeham,0
ham,"Dear, will call Tmorrow.pls accomodate.,ham",dear tmorrowpls accomodateham,0
ham,"First answer my question.,ham",answer questionham,0
spam,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,spam",sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 å150 sptyronespam,1
spam,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam",want 2 lay tonight want real dogging location send direct 2 ur mob join uk large dog network bt txte gravel 69888 ec2a 31pmsg150pspam,1
ham,"I only haf msn. It's yijue@hotmail.com,ham",haf msn yijuehotmailcomham,0
ham,"He is there. You call and meet him,ham",meet himham,0
ham,"No no. I will check all rooms befor activities,ham",check room befor activitiesham,0
spam,"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam",rcv msg chat svc free hardcore service text 69988 u u age verify yr network   try againspam,1
ham,"Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,ham",c lazy type forget ì lect pouch like v niceham,0
ham,"K, text me when you're on the way,ham",k text wayham,0
ham,"Sir, Waiting for your mail.,ham",sir wait mailham,0
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"",ham",swt think nver tired little thing 4 lovable person cozsomtime little thing occupy d big heart gud ni8ham,0
ham,"I know you are. Can you pls open the back?,ham",know pls open backham,0
ham,"Yes see ya not on the dot,ham",yes ya dotham,0
ham,"Whats the staff name who is taking class for us?,ham",s staff class usham,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end,spam",freemsg reply text randy sexy female live local luv hear u netcollex ltd 08700621170150p msg reply stop endspam,1
ham,"Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham",ummmawill check inour life begin qatar pls pray hardham,0
ham,"K..i deleted my contact that why?,ham",ki delete contact whyham,0
ham,"Sindu got job in birla soft ..,ham",sindu job birla soft ham,0
ham,"The wine is flowing and i'm i have nevering..,ham",wine flow neveringham,0
ham,"Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham",yup thk cine cos need 2 2 plaza mahham,0
ham,"Ok... Ur typical reply...,ham",ok ur typical replyham,0
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham",request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertuneham,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.,ham",dirt floor window shirt open mouth come flow dream world half chore time joy lot tv ill guess like thing exist like rain hail mist time oneham,0
ham,"Aaooooright are you at work?,ham",aaooooright workham,0
ham,"I'm leaving my house now...,ham",leave house nowham,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?,ham",hello love interview today happy good boy think meare miss ham,0
spam,"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam",customer service annoncement new year delivery wait 07046744435 arrange deliveryspam,1
spam,"You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam",winner u specially select 2 receive å1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810spam,1
ham,"Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham",safe need miss envy real lifeham,0
ham,"New car and house for my parents.:)i have only new job in hand:),ham",new car house parentsi new job handham,0
ham,"I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham",love excited day spend happyham,0
spam,"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam",pls stop bootydelious 32f invite friend reply yes434 no434 wwwsmsacubootydelious stop send stop frnd 62468spam,1
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu,spam",bangbabe ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menuspam,1
ham,"I place all ur points on e cultures module already.,ham",place ur point e culture module alreadyham,0
spam,"URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam",urgent try contact weekend draw win å900 prize guarantee 09061701939 claim code s89 valid 12hrs onlyspam,1
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?,ham",hi frnd good way avoid missunderstde wit beloved one'sham,0
ham,"Great escape. I fancy the bridge but needs her lager. See you tomo ,ham",great escape fancy bridge need lager tomo ham,0
ham,"Yes :)it completely in out of form:)clark also utter waste.,ham",yes completely formclark utter wasteham,0
ham,"Sir, I need AXIS BANK account no and bank address.,ham",sir need axis bank account bank addressham,0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ,ham",hmmm thk sure time hop ard ya 4 free abt muz u discuss liao ham,0
ham,"What time you coming down later? ,ham",time come later ham,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ,ham",bloody hell believe forgot surname mr   ill u clue spanish begin m ham,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.,ham",finish bath goodfine nightham,0
ham,"Let me know when you've got the money so carlos can make the call,ham",let know money carlos callham,0
ham,"U still going to the mall?,ham",u mallham,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth,ham",turn friend stay til   ltgt   feel free ahead smoke   ltgt   worthham,0
ham,"Text her. If she doesnt reply let me know so i can have her log in,ham",text reply let know log inham,0
ham,"Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham",hi speak maneesha v like know satisfied experience reply toll free yes noham,0
ham,"You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham",lift hope offer money need especially end month approach hurt study anyways gr8 weekendham,0
ham,"Lol no. U can trust me.,ham",lol u trust meham,0
ham,"ok. I am a gentleman and will treat you with dignity and respect.,ham",ok gentleman treat dignity respectham,0
ham,"He will, you guys close?,ham",guy closeham,0
ham,"Going on nothing great.bye,ham",greatbyeham,0
ham,"Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham",hello handsome   find job   lazy   work net mummy   boytoy   miss ham,0
ham,"Haha awesome, be there in a minute,ham",haha awesome minuteham,0
spam,"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam",customer service representative freephone 0808 145 4742 9am11pm win guarantee å1000 cash å5000 prizespam,1
ham,"Have you got Xmas radio times. If not i will get it now,ham",xmas radio time nowham,0
ham,"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham",jus reach home bathe sis net tell u finish kham,0
spam,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam",unique find 30th august wwwareyouuniquecoukspam,1
ham,"I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham",sorry join league people touch mean great deal friend time great personal cost great weekham,0
ham,"Hi :)finally i completed the course:),ham",hi finally complete courseham,0
ham,"It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham",stop suggest stay able stoolham,0
ham,"How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham",hope settle new school year wishin gr8 dayham,0
ham,"Gud mrng dear hav a nice day,ham",gud mrng dear hav nice dayham,0
ham,"Did u got that persons story,ham",u got person storyham,0
ham,"is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham",hamster dead hey tmr meet 1 pm orchard mrt ham,0
ham,"Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham",hi kate evening hope tomorrow bit bloody babyjontet txt u   xxxham,0
ham,"Found it, ENC  &lt;#&gt; , where you at?,ham",find enc   ltgt   atham,0
ham,"I sent you  &lt;#&gt;  bucks,ham",send   ltgt   bucksham,0
ham,"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham",hello darlin ve finish college txt u finish u love kate xxxham,0
ham,"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham",account refill successfully inr   ltdecimalgt   keralacircle prepaid account balance rs   ltdecimalgt   transaction d kr ltgt ham,0
ham,"Goodmorning sleeping ga.,ham",goodmorning sleep gaham,0
ham,"U call me alter at 11 ok.,ham",u alter 11 okham,0
ham,"ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,ham",ìï like dat dun buy ericsson oso oredi larham,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.,ham",enter cabin pa '' happy b'day boss '' feel special askd 4 lunch lunch invite apartment thereham,0
ham,"Aight yo, dats straight dogg,ham",aight yo dats straight doggham,0
ham,"You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham",connection today   ltdecimalgt   refund billham,0
ham,"Both :) i shoot big loads so get ready!,ham",  shoot big load readyham,0
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.,ham",bruv hope great break rewarding semesterham,0
ham,"Home so we can always chat,ham",home chatham,0
ham,"K:)k:)good:)study well.,ham",kkgoodstudy wellham,0
