type,text,target,text_clean,text_encoded
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.,ham",0,home soon want talk stuff anymore tonight k cry todayham,"[32, 161, 14, 121, 174, 1, 207, 103, 993, 223]"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info,spam",1,chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 infospam,"[175, 26, 89, 453, 1, 267, 23, 1, 9, 1, 184, 1, 1, 240, 1, 334, 28, 1, 7, 1]"
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,spam",1,urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18spam,"[104, 26, 76, 37, 12, 1, 1, 67, 1, 23, 135, 42, 1, 273, 1, 1, 476, 1]"
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham",0,search right word thank breather promise help grant fulfil promise wonderful blessing timesham,"[368, 79, 135, 66, 1, 572, 141, 1, 1, 572, 506, 1, 1]"
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!,ham",0,date sunday willham,"[216, 1, 1]"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL,spam",1,xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcblspam,"[1, 151, 301, 994, 736, 737, 23, 71, 994, 1, 1]"
ham,"Oh k...i'm watching here:),ham",0,oh ki'm watching hereham,"[58, 1, 1, 336]"
ham,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham",0,eh u remember 2 spell yes v naughty v wetham,"[671, 2, 233, 3, 1, 72, 145, 1, 145, 1]"
ham,"Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham",0,fine thatåõs way u feel thatåõs way gota bham,"[170, 1, 68, 2, 56, 1, 68, 1, 1]"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+,spam",1,england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16spam,"[805, 145, 1, 35, 1, 454, 23, 4, 622, 995, 996, 623, 805, 996, 1, 1, 1, 1, 369]"
ham,"Is that seriously how you spell his name?,ham",0,seriously spell nameham,"[806, 1, 1]"
ham,"IÛ÷m going to try for 2 months ha ha only joking,ham",0,iûm try 2 month ha ha jokingham,"[1, 43, 3, 190, 477, 477, 1]"
ham,"So Ì_ pay first lar... Then when is da stock comin...,ham",0,ì pay lar da stock cominham,"[48, 152, 263, 52, 1, 1]"
ham,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham",0,aft finish lunch str lor ard 3 smth lor u finish ur lunch alreadyham,"[425, 113, 176, 1, 49, 370, 97, 538, 49, 2, 113, 4, 176, 349]"
ham,"Ffffffffff. Alright no way I can meet up with you sooner?,ham",0,ffffffffff alright way meet soonerham,"[1, 350, 68, 50, 1]"
ham,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham",0,force eat slice hungry tho suck mark worried know sick turn pizza lolham,"[1, 136, 1, 807, 672, 997, 890, 808, 10, 998, 573, 999, 539]"
ham,"Lol your always so convincing.,ham",0,lol convincingham,"[117, 1]"
ham,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham",0,catch bus   fry egg   tea eat mom leave dinner   feel love ham,"[507, 284, 1, 1, 1, 136, 371, 53, 285, 56, 15, 5]"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room,ham",0,amp pack car let know roomham,"[73, 1, 196, 69, 10, 809]"
ham,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham",0,ahhh work vaguely remember feel like lolham,"[1, 40, 1, 233, 56, 13, 539]"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us,ham",0,wait clear sure sarcastic x want live usham,"[45, 891, 98, 1, 241, 14, 133, 624]"
ham,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham",0,yeah 2 v apologetic n fall actin like spoilt child catch till 2 badly cheer ham,"[77, 3, 145, 1, 29, 508, 1, 13, 1, 738, 507, 319, 3, 1, 625, 5]"
ham,"K tell me anything about you.,ham",0,k tell youham,"[103, 19, 81]"
ham,"For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham",0,fear faint housework quick cuppaham,"[1, 1, 1, 1, 1]"
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam",1,thank subscription ringtone uk mobile charge å5month confirm reply yes reply chargedspam,"[66, 1, 242, 351, 27, 217, 1, 574, 28, 72, 28, 1]"
ham,"Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham",0,yup ok home look timing msg ì xuhui learn 2nd lesson 8amham,"[177, 16, 32, 93, 1, 70, 48, 1, 892, 254, 320, 1]"
ham,"Oops, I'll let you know when my roommate's done,ham",0,oop let know roommate doneham,"[810, 69, 10, 1, 739]"
ham,"I see the letter B on my car,ham",0,letter b carham,"[1, 106, 1]"
ham,"Anything lor... U decide...,ham",0,lor u decideham,"[49, 2, 1]"
ham,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham",0,hello saturday texte decide tomo try invite anythingham,"[140, 540, 811, 286, 626, 43, 383, 812]"
ham,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham",0,pls ahead watts want sure great weekend abiolaham,"[59, 1, 1, 14, 98, 46, 287, 673]"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy,ham",0,forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummyham,"[162, 19, 14, 22, 627, 15, 218, 1, 1, 1, 1]"
spam,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam",1,07732584351   rodger burn   msg   try reply sm free nokia mobile   free camcorder 08000930705 delivery tomorrowspam,"[1, 1, 1, 70, 43, 28, 183, 12, 99, 27, 12, 509, 674, 406, 893]"
ham,"WHO ARE YOU SEEING?,ham",0,seeingham,[1]
ham,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham",0,great hope like man endow   ltgt   inchesham,"[46, 39, 13, 137, 1, 11, 1]"
ham,"No calls..messages..missed calls,ham",0,callsmessagesmisse callsham,"[1, 1]"
ham,"Didn't you get hep b immunisation in nigeria.,ham",0,hep b immunisation nigeriaham,"[1, 106, 1, 1]"
ham,"Fair enough, anything going on?,ham",0,fair onham,"[1, 813]"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit,ham",0,yeah hopefully tyler maybe ask bitham,"[77, 1, 1, 243, 34, 740]"
ham,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham",0,u know stubborn want hospital tell mark weak sucker hospital weak suckersham,"[2, 10, 1, 14, 675, 19, 890, 1, 1, 675, 1, 1]"
ham,"What you thinked about me. First time you saw me in class.,ham",0,think time classham,"[20, 18, 541]"
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;,ham",0,gram usually run like   ltgt   half eighth smart second gram   ltgtham,"[1, 1, 208, 13, 11, 185, 1, 1, 407, 1, 628]"
ham,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham",0,k fyi x ride early tomorrow morning crash place tonightham,"[103, 1, 241, 1, 173, 124, 109, 1, 122, 274]"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."",ham",0,wow realize embarassed accomodation think like good happy cave sorry sorry offer sorry room embarassingham,"[676, 1, 1, 1, 20, 13, 8, 54, 1, 25, 25, 157, 25, 255, 1]"
spam,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam",1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptvspam,"[183, 1, 1, 31, 1, 1, 1, 1, 1, 146, 1, 1, 894, 1, 114, 28, 114, 1]"
ham,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham",0,know mallika sherawat yesterday find    lturlgtham,"[10, 1, 1, 426, 62, 1]"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ,spam",1,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss spam,"[427, 76, 95, 158, 1, 478, 3, 1, 78, 1, 145, 1, 1, 741, 7, 12, 1, 1, 35, 197]"
ham,"Sorry, I'll call later in meeting.,ham",0,sorry later meetingham,"[25, 105, 814]"
ham,"Tell where you reached,ham",0,tell reachedham,"[19, 1]"
ham,"Yes..gauti and sehwag out of odi series.,ham",0,yesgauti sehwag odi seriesham,"[1, 1, 1, 1]"
ham,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham",0,pick 1 burger way home pain kill meham,"[63, 76, 1, 68, 32, 321, 1, 80]"
ham,"Ha ha ha good joke. Girls are situation seekers.,ham",0,ha ha ha good joke girl situation seekersham,"[477, 477, 477, 8, 620, 142, 815, 1]"
ham,"Its a part of checking IQ,ham",0,check iqham,"[127, 1]"
ham,"Sorry my roommates took forever, it ok if I come by now?,ham",0,sorry roommate forever ok come nowham,"[25, 1, 1, 16, 6, 90]"
ham,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham",0,ok lar double check wif da hair dresser wun cut v short cut look niceham,"[16, 263, 337, 127, 272, 52, 352, 1, 1, 479, 145, 677, 479, 93, 1]"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589,spam",1,value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589spam,"[452, 120, 1, 1, 542, 1, 1, 302, 107, 1, 372, 67, 1]"
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."",ham",0,today song dedicated day song u dedicate send ur valuable frnd rply meham,"[41, 575, 1, 21, 575, 2, 1, 9, 4, 1, 268, 742, 80]"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ,spam",1,urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3ajspam,"[104, 4, 107, 629, 384, 1, 1, 1, 209, 42, 23, 256, 1, 1, 1, 1, 1]"
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"",spam",1,hear new divorce barbie come ken stuffspam,"[163, 31, 1, 1, 6, 1, 1]"
ham,"I plane to give on this month end.,ham",0,plane month endham,"[1, 190, 1]"
ham,"Wah lucky man... Then can save money... Hee...,ham",0,wah lucky man save money heeham,"[1, 480, 137, 576, 128, 895]"
ham,"Finished class where are you.,ham",0,finished class youham,"[1, 224, 81]"
ham,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham",0,hi babe m home wanna xxham,"[36, 85, 51, 32, 191, 896]"
ham,"K..k:)where are you?how did you performed?,ham",0,kkwhere youhow performedham,"[1, 1, 1]"
ham,"U can call me now...,ham",0,u nowham,"[2, 90]"
ham,"I am waiting machan. Call me once you free.,ham",0,wait machan freeham,"[45, 1, 678]"
ham,"Thats cool. i am a gentleman and will treat you with dignity and respect.,ham",0,s cool gentleman treat dignity respectham,"[44, 171, 1, 475, 1, 1]"
ham,"I like you peoples very much:) but am very shy pa.,ham",0,like people shy paham,"[13, 143, 1, 743]"
ham,"Does not operate after  &lt;#&gt;  or what,ham",0,operate   ltgt   whatham,"[1, 11, 1]"
ham,"Its not the same here. Still looking for a job. How much do Ta's earn there.,ham",0,look job ta earn thereham,"[93, 192, 1, 1, 219]"
ham,"Sorry, I'll call later,ham",0,sorry laterham,"[25, 100]"
ham,"K. Did you call me just now ah? ,ham",0,k ah ham,"[103, 385, 5]"
ham,"Ok i am on the way to home hi hi,ham",0,ok way home hi hiham,"[16, 68, 32, 36, 897]"
ham,"You will be in the place of that man,ham",0,place manham,"[122, 1]"
ham,"Yup next stop.,ham",0,yup stopham,"[177, 1]"
ham,"I call you later, don't have network. If urgnt, sms me.,ham",0,later network urgnt sm meham,"[105, 232, 1, 183, 80]"
ham,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham",0,real u yo need 2 ticket jacket multisham,"[234, 2, 210, 22, 3, 481, 1, 1]"
ham,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham",0,yes start send request pain come bed double coin factory cash nitrosham,"[72, 96, 9, 733, 321, 6, 322, 337, 1, 1, 89, 1]"
ham,"I'm really not up to it still tonight babe,ham",0,tonight babeham,"[207, 898]"
ham,"Ela kano.,il download, come wen ur free..,ham",0,ela kanoil download come wen ur freeham,"[1, 1, 428, 6, 303, 4, 678]"
ham,"Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,ham",0,yeah donût stand close tho youûll catch somethingham,"[77, 1, 816, 373, 672, 1, 507, 679]"
ham,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham",0,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry ham,"[25, 321, 16, 50, 64, 353, 65, 304, 1, 115, 153, 1, 1, 18, 1, 25, 5]"
ham,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham",0,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smilingham,"[110, 1, 110, 321, 110, 899, 1, 13, 543, 110, 1, 244, 2, 110, 1, 15, 2, 1]"
spam,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam",1,customer service representative 0800 169 6031 10am9pm win guarantee å1000 cash å5000 prizespam,"[120, 87, 744, 577, 1, 1, 1, 26, 131, 209, 89, 408, 1]"
ham,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham",0,plan buy later check lido 530 e afternoon u finish work alreadyham,"[164, 91, 105, 127, 1, 1, 75, 304, 2, 113, 40, 349]"
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"",spam",1,free ringtone wait collect simply text password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16spam,"[12, 242, 45, 235, 1, 17, 1, 1, 1, 1, 1, 1, 1, 211, 212, 1, 1, 1, 1, 369]"
ham,"Watching telugu movie..wat abt u?,ham",0,watch telugu moviewat abt uham,"[101, 1, 1, 288, 186]"
ham,"i see. When we finish we have loads of loans to pay,ham",0,finish load loan payham,"[113, 630, 680, 1]"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"",ham",0,hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uhamham,"[36, 323, 16, 1, 72, 198, 208, 1, 1, 1, 22, 32, 29, 681, 374, 682, 1]"
ham,"Please don't text me anymore. I have nothing else to say.,ham",0,text anymore sayham,"[17, 1, 1]"
ham,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham",0,okay ur price long legal wen pick y u ave x ams xxham,"[354, 4, 305, 144, 1, 303, 63, 153, 2, 900, 241, 1, 896]"
ham,"I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham",0,look car buy 4the drive test yetham,"[93, 196, 91, 1, 193, 324, 544]"
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham",0,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertuneham,"[733, 88, 1, 1, 1, 1, 1, 1, 88, 367, 1, 423, 734, 283, 804, 57, 1]"
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.,ham",0,wow right mean guess boston man change search location nyc change cuz signin page bostonham,"[676, 79, 115, 178, 1, 137, 225, 368, 1, 1, 225, 1, 1, 901, 1]"
ham,"Umma my life and vava umma love you lot dear,ham",0,umma life vava umma love lot dearham,"[1, 82, 1, 1, 15, 149, 289]"
ham,"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham",0,thank lot wish birthday thank birthday truly memorableham,"[66, 149, 102, 265, 66, 265, 1, 1]"
ham,"Aight, I'll hit you up when I get some cash,ham",0,aight hit cashham,"[236, 578, 1]"
ham,"How would my ip address test that considering my computer isn't a minecraft server,ham",0,ip address test consider computer minecraft serverham,"[1, 482, 324, 1, 683, 1, 1]"
ham,"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham",0,know grumpy old people mom like lie play jokesham,"[10, 1, 386, 143, 371, 13, 1, 146, 1]"
ham,"Dont worry. I guess he's busy.,ham",0,worry guess busyham,"[306, 178, 1]"
ham,"What is the plural of the noun research?,ham",0,plural noun researchham,"[1, 1, 1]"
ham,"Going for dinner.msg you after.,ham",0,dinnermsg afterham,"[1, 1]"
ham,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham",0,ok wif cos like 2 try new thing scare u dun like mah cos u loudham,"[16, 272, 83, 13, 3, 43, 31, 55, 1, 2, 123, 13, 745, 83, 2, 1]"
spam,"GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam",1,gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppmspam,"[1, 43, 84, 287, 154, 26, 209, 67, 131, 1, 42, 253, 1, 335, 455, 456]"
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?,ham",0,wa ur openin sentence formal fine juz tt eatin n puttin weighthaha anythin special happenedham,"[1, 4, 1, 1, 1, 170, 307, 1, 1, 29, 1, 1, 1, 158, 1]"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.,ham",0,enter cabin pa '' happy b'day boss '' feel special askd 4 lunch lunch invite apartment thereham,"[308, 1, 375, 226, 54, 746, 902, 226, 56, 158, 684, 7, 176, 176, 383, 903, 219]"
spam,"You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam",1,winner u specially select 2 receive å1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18 spam,"[505, 2, 817, 264, 3, 150, 209, 7, 159, 1, 904, 160, 133, 510, 3, 42, 1, 227, 197]"
ham,"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham",0,goodo yes speak friday   eggpotato ratio tortilla need ham,"[1, 72, 160, 579, 1, 1, 1, 22, 5]"
ham,"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham",0,hmmmy uncle inform pay school directly pls buy foodham,"[1, 483, 905, 152, 290, 1, 59, 91, 1]"
spam,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam",1,private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifi code 45239 expiresspam,"[409, 906, 165, 429, 1, 1, 1, 372, 262, 42, 1, 1, 253, 1, 1]"
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM,spam",1,urgent mobile award å2000 bonus caller prize 5903 final try contact u landline 09064019788 box42wr29c 150ppmspam,"[104, 27, 107, 245, 372, 423, 67, 1, 422, 43, 84, 2, 228, 1, 1, 456]"
ham,"here is my new address -apples&pairs&all that malarky,ham",0,new address applespairsall malarkyham,"[31, 482, 1, 1]"
spam,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam",1,todays voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate appspam,"[387, 1, 60, 114, 1, 264, 150, 1, 107, 430, 1, 747, 42, 253, 1, 1, 275, 1]"
ham,"I am going to sao mu today. Will be done only at 12 ,ham",0,sao mu today 12 ham,"[1, 748, 41, 537, 5]"
ham,"ÌÏ predict wat time Ì_'ll finish buying?,ham",0,ìï predict wat time ì'll finish buyingham,"[129, 1, 61, 18, 1, 113, 1]"
ham,"Good stuff, will do.,ham",0,good stuff doham,"[8, 174, 580]"
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.,ham",0,knowyetunde send money send text bother send involve impose place apologiseham,"[1, 9, 128, 9, 17, 1, 9, 1, 1, 122, 1]"
ham,"Are you there in room.,ham",0,roomham,[809]
ham,"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham",0,hey girl r u hope u r del r bak long time c sum time lucyxxham,"[47, 142, 24, 2, 39, 2, 24, 749, 24, 907, 144, 18, 78, 1, 18, 1]"
ham,"K..k:)how much does it cost?,ham",0,kkhow costham,"[1, 1]"
ham,"I'm home.,ham",0,homeham,[291]
ham,"Dear, will call Tmorrow.pls accomodate.,ham",0,dear tmorrowpls accomodateham,"[74, 1, 1]"
ham,"First answer my question.,ham",0,answer questionham,"[276, 1]"
spam,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,spam",1,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 å150 sptyronespam,"[908, 545, 536, 1, 26, 818, 909, 410, 2, 10, 1, 1, 23, 1, 1, 347, 1]"
spam,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam",1,want 2 lay tonight want real dogging location send direct 2 ur mob join uk large dog network bt txte gravel 69888 ec2a 31pmsg150pspam,"[14, 3, 910, 207, 14, 234, 1, 1, 9, 631, 3, 4, 302, 220, 351, 1, 511, 232, 292, 685, 1, 1, 1, 1]"
ham,"I only haf msn. It's yijue@hotmail.com,ham",0,haf msn yijuehotmailcomham,"[355, 1, 1]"
ham,"He is there. You call and meet him,ham",0,meet himham,"[50, 484]"
ham,"No no. I will check all rooms befor activities,ham",0,check room befor activitiesham,"[127, 255, 1, 1]"
spam,"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam",1,rcv msg chat svc free hardcore service text 69988 u u age verify yr network   try againspam,"[1, 70, 125, 1, 12, 1, 87, 17, 1, 2, 2, 485, 1, 546, 232, 43, 1]"
ham,"Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,ham",0,c lazy type forget ì lect pouch like v niceham,"[78, 819, 512, 162, 48, 911, 1, 13, 145, 1]"
ham,"K, text me when you're on the way,ham",0,k text wayham,"[103, 17, 581]"
ham,"Sir, Waiting for your mail.,ham",0,sir wait mailham,"[325, 45, 1]"
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"",ham",0,swt think nver tired little thing 4 lovable person cozsomtime little thing occupy d big heart gud ni8ham,"[1, 20, 1, 686, 257, 55, 7, 750, 138, 1, 257, 55, 1, 38, 166, 155, 108, 687]"
ham,"I know you are. Can you pls open the back?,ham",0,know pls open backham,"[10, 59, 457, 458]"
ham,"Yes see ya not on the dot,ham",0,yes ya dotham,"[72, 130, 1]"
